Name	Key	Frames	X	Y	Size
1f1eb-1f1f7	[1d]	1	0.7910156	0.01757813	0.01757813
1f1eb	[1e]	1	0.8085938	0.01757813	0.01757813
1f1ec-1f1e6	[1f]	1	0.8261719	0.01757813	0.01757813
1f1ec-1f1e7	[1g]	1	0.84375	0.01757813	0.01757813
1f1ec-1f1e9	[1h]	1	0.8613281	0.01757813	0.01757813
1f1ec-1f1ea	[1i]	1	0.8789063	0.01757813	0.01757813
1f1ec-1f1eb	[1j]	1	0.8964844	0.01757813	0.01757813
1f1ec-1f1ec	[1k]	1	0.9140625	0.01757813	0.01757813
1f1ec-1f1ed	[1l]	1	0.9316406	0.01757813	0.01757813
1f1ec-1f1ee	[1m]	1	0.9492188	0.01757813	0.01757813
1f1ec-1f1f1	[1n]	1	0.9667969	0.01757813	0.01757813
1f1ec-1f1f2	[1o]	1	0	0.03515625	0.01757813
1f1ec-1f1f3	[1p]	1	0.01757813	0.03515625	0.01757813
1f1ec-1f1f5	[1q]	1	0.03515625	0.03515625	0.01757813
1f1ec-1f1f6	[1r]	1	0.05273438	0.03515625	0.01757813
1f1ec-1f1f7	[1s]	1	0.0703125	0.03515625	0.01757813
1f1ec-1f1f8	[1t]	1	0.08789063	0.03515625	0.01757813
1f1ec-1f1f9	[1u]	1	0.1054688	0.03515625	0.01757813
1f1ec-1f1fa	[1v]	1	0.1230469	0.03515625	0.01757813
1f1ec-1f1fc	[1w]	1	0.140625	0.03515625	0.01757813
1f1ec-1f1fe	[1x]	1	0.1582031	0.03515625	0.01757813
1f1ec	[1y]	1	0.1757813	0.03515625	0.01757813
1f1ed-1f1f0	[1z]	1	0.1933594	0.03515625	0.01757813
1f1ed-1f1f2	[20]	1	0.2109375	0.03515625	0.01757813
1f1ed-1f1f3	[21]	1	0.2285156	0.03515625	0.01757813
1f1ed-1f1f7	[22]	1	0.2460938	0.03515625	0.01757813
1f1ed-1f1f9	[23]	1	0.2636719	0.03515625	0.01757813
1f1ed-1f1fa	[24]	1	0.28125	0.03515625	0.01757813
1f1ed	[25]	1	0.2988281	0.03515625	0.01757813
1f1ee-1f1e8	[26]	1	0.3164063	0.03515625	0.01757813
1f1ee-1f1e9	[27]	1	0.3339844	0.03515625	0.01757813
1f1ee-1f1ea	[28]	1	0.3515625	0.03515625	0.01757813
1f1ee-1f1f1	[29]	1	0.3691406	0.03515625	0.01757813
1f1ee-1f1f2	[2A]	1	0.3867188	0.03515625	0.01757813
1f1ee-1f1f3	[2B]	1	0.4042969	0.03515625	0.01757813
1f1ee-1f1f4	[2C]	1	0.421875	0.03515625	0.01757813
1f1ee-1f1f6	[2D]	1	0.4394531	0.03515625	0.01757813
1f1ee-1f1f7	[2E]	1	0.4570313	0.03515625	0.01757813
1f1ee-1f1f8	[2F]	1	0.4746094	0.03515625	0.01757813
1f1ee-1f1f9	[2G]	1	0.4921875	0.03515625	0.01757813
1f1ee	[2H]	1	0.5097656	0.03515625	0.01757813
1f1ef-1f1ea	[2I]	1	0.5273438	0.03515625	0.01757813
1f1ef-1f1f2	[2J]	1	0.5449219	0.03515625	0.01757813
1f1ef-1f1f4	[2K]	1	0.5625	0.03515625	0.01757813
1f1ef-1f1f5	[2L]	1	0.5800781	0.03515625	0.01757813
1f1ef	[2M]	1	0.5976563	0.03515625	0.01757813
1f1f0-1f1ea	[2N]	1	0.6152344	0.03515625	0.01757813
1f1f0-1f1ec	[2O]	1	0.6328125	0.03515625	0.01757813
1f1f0-1f1ed	[2P]	1	0.6503906	0.03515625	0.01757813
1f1f0-1f1ee	[2Q]	1	0.6679688	0.03515625	0.01757813
1f1f0-1f1f2	[2R]	1	0.6855469	0.03515625	0.01757813
1f1f0-1f1f3	[2S]	1	0.703125	0.03515625	0.01757813
1f1f0-1f1f5	[2T]	1	0.7207031	0.03515625	0.01757813
1f1f0-1f1f7	[2U]	1	0.7382813	0.03515625	0.01757813
1f1f0-1f1fc	[2V]	1	0.7558594	0.03515625	0.01757813
1f1f0-1f1fe	[2W]	1	0.7734375	0.03515625	0.01757813
1f1f0-1f1ff	[2X]	1	0.7910156	0.03515625	0.01757813
